Stadt,Club,Veranstaltername,Homepage,Email,Telefon,Bundesland,Land
München,Backstage,,"https://www.facebook.com/Backstage-
M?nchen-101954453204185/?fref=ts",simon@backstage.eu,,Bayern,Deutschland
München,Final Exit Records,,http://www.facebook.com/finalexitrecords,,,Bayern,Deutschland
München,Life/Less,,http://www.facebook.com/life.less.diy,,,Bayern,Deutschland
München,DOOMTOWN concerts,,https://www.facebook.com/dommtownconcerts/?ref=timeline_chaining,,,Bayern,Deutschland
Kirchheim,Rülps Kirchheim,,"https://www.facebook.com/R?lps-112101142155750/
?fref=ts",booking@ruelps-kirchheim.de,,Bayern,Deutschland
Nürdlingen,,Patrick,http://www.facebook.com/patrick.winter.90?ref=ts,,,Bayern,Deutschland
Oettingen,,Patrick,http://www.facebook.com/patrick.winter.90?ref=ts,,,Bayern,Deutschland
Simbach am Inn,Stray Records,Valentin Laabmayr,http://www.facebook.com/valentin.laabmayr?ref=ts,,,Bayern,Deutschland
Aschaffenburg,Recovery Showcase & Booking,Phil / Eric,"https://www.facebook.com/RECOVERY-SHOWCASE-
BOOKING-14221737586
8674/info/?tab=page_info","recovery.showcase@web
.de",,Bayern,Deutschland
Erlangen,Regnitzgard Collective,,"https://www.facebook.com/Regnitzgrad-
Collective-102535713178201/?ref=py_c",regnitzgard@gmx.de,,Bayern,Deutschland
Berlin,Stateless Society,Tim Stateless / Joe Stateless / Ensen Thomas,http://www.facebook.com/attack.tim?ref=ts,,,Berlin,Deutschland
Berlin,Sleaze Shows,,https://www.facebook.com/SleazeShows?ref=ts,,,Berlin,Deutschland
Berlin,Bunte Kuh,Klaus Trustthismerch Krause,https://www.facebook.com/TrustinThisMerchandise,,,Berlin,Deutschland
Berlin,Drop The Bomb,Marco Pitcam Rsg,http://www.facebook.com/DropTheBombParty,,,Berlin,Deutschland
Berlin,Eastend,,"https://www.facebook.com/Eastend-
Berlin-182248525185497/
?fref=ts",http://www.eastend-berlin.com/incl.php?thema=kontakt,,Berlin,Deutschland
Berlin,Ready To Fight Shows,,https://www.facebook.com/readytofightshows/?fref=ts,,,Berlin,Deutschland
Berlin,Schweinehund Booking,,https://www.facebook.com/schweinhundshows/?fref=ts,,,Berlin,Deutschland
Berlin,Scapegoat Shows,,"https://www.facebook.com/Scapegoat-
Shows-16165272089880
4/?fref=ts",scapegoatshows@gmail.com,,Berlin,Deutschland
Berlin,Move Your Ass Concerts,,"https://www.facebook.com/Move-Your-Ass-
Concerts-1437167236516304/?
ref=timeline_chaining",,,Berlin,Deutschland
Berlin,Arthur le perroquet - DIY shows,,"https://www.facebook.com/Arthur-le-perroquet-DIY-shows-864757226935898
/",arthur_shows@gmx.de,,Berlin,Deutschland
Berlin,Karsten Jahnke Konzerte,,https://www.facebook.com/karstenjahnke/,,,Berlin,Deutschland
Berlin,Kollektiv Kursk,,https://www.facebook.com/KollektivKursk/,,,Berlin,Deutschland
Cottbus,Roaches & Rats,Caro,"https://www.facebook.com/profile.php?id=100007300579151&fre
f=ts",roachesnrats@gmail.com,,Brandenburg,Deutschland
Bremen,,,,,,Bremen,Deutschland
Hamburg,Gängeviertel,,http://www.das-gaengeviertel.info.de,,,Hamburg,Deutschland
Hamburg,Straight from the Heart,Cindy Warrick,https://www.facebook.com/cindy.gusinski?fref=ts,sfthpromotion@gmail.com,,Hamburg,Deutschland
Hamburg,Death Or Better Days,Martin,https://www.facebook.com/deathorbetterdays/?fref=ts,booking@deathorbetterdays.com,,Hamburg,Deutschland
Hamburg,Headcrash,Martin,https://www.facebook.com/headCRASH.de/?fref=ts,martin@headcrash-hamburg.com,,Hamburg,Deutschland
Hamburg,59 Hamburg,,,59booking.hamburg@gmail.com,,Hamburg,Deutschland
Hamburg,MegaFauna Shows,,https://www.facebook.com/megafaunashows/?ref=timeline_chaining,,,Hamburg,Deutschland
Hamburg,Beyond Borders,,https://www.facebook.com/BeyondBordersMusic/,beyondborders161@gmail.com,,Hamburg,Deutschland
Hamburg,Violent Banana Shows,,https://www.facebook.com/ViolentBananaShows/,,,Hamburg,Deutschland
Hamburg,Black Block Booking Hamburg,,https://www.facebook.com/blackblockbookinghh/?ref=un_c,,,Hamburg,Deutschland
Hamburg,Our Turn Concerts,,https://www.facebook.com/ourturnconcerts/?fref=pb&hc_location=profile_browser,,,Hamburg,Deutschland
Hamburg,Horrorbiz Booking,Chris,https://www.facebook.com/booking.horrorbiz/,chris@horrorbiz.de,,Hamburg,Deutschland
Gieüen,AK47,Michael Bullerjahn,https://www.facebook.com/cujo.karmabomb?fref=ts,,,Hessen,Deutschland
Gieüen,Muk Giessen,Jasmine,https://www.facebook.com/muk.giessenprofilseite/?fref=ts,jasmin@muk-giessen.de,,Hessen,Deutschland
Wiesbaden,MxS Booking,Mark / Steven,"https://www.facebook.com/MxS-Booking-15695011199347
92/?fref=ts",,,Hessen,Deutschland
Wiesbaden,Konglomerat Konzerte,Sebastian / Josh,https://www.facebook.com/Konzertkonglomerat/?fref=ts,konglomeratkonzerte@gmail.com,,Hessen,Deutschland
Darmstadt,Angeschimmelt Youth Concerts,,"https://www.facebook.com/angeschimmeltyouthcrew/
?fref=ts",aycshows@yahoo.de,,Hessen,Deutschland
Gelnhausen,Volume Music,Axel,https://www.facebook.com/alex87lesch,,,Hessen,Deutschland
Rostock,XLove Life BookingX,Christian,"https://www.facebook.com/XLove-Life-
Bookingx-158834447503425/timeline",west@jugendhaus.net,,Mecklenburg- Vorpommern,Deutschland
Hannover,,Stefan Rückriem,https://www.facebook.com/stefan.ruckriem?fref=ts,,,Niedersachsen,Deutschland
Hannover,Still Cold Fest,Stefan Becher,https://www.facebook.com/stefan.becher.71?fref=ts,,,Niedersachsen,Deutschland
Hannover,Hannover Concerts,,https://www.facebook.com/hannoverconcerts/,info@hannover-concerts.de,,Niedersachsen,Deutschland
Celle,Kulturzentrum Celle,Karsten Münkenhove,https://www.facebook.com/karsten.munkenhove.5?fref=ts,,,Niedersachsen,Deutschland
Oldenburg,Fat Hoschi Events,,https://www.facebook.com/Fat-Hoschi-Events/,,,Niedersachsen,Deutschland
Güttingen,KulturKollektiv Göttingen,,https://www.facebook.com/kulturkollektiv.gottingen/,stillbrvch@asta.uni-goettingen.de,,Niedersachsen,Deutschland
Güttingen,Konzertgruppe Eins,,https://www.facebook.com/konzertgruppe1/,konzertgruppe.eins@gmail.com,,Niedersachsen,Deutschland
Güttingen,Heartbeat inc. HC,Max Ludwikowski,https://www.facebook.com/HeartBeatxhc/?pnref=lhc,heartbeatxhc@gmail.com,,Niedersachsen,Deutschland
Münster,Brickmosh,,https://www.facebook.com/BRICKMOSH/timeline,booking@brickmosh.de,,Niedersachsen,Deutschland
Münster,ND12 - DIY Shows Münster,,https://www.facebook.com/ND12Shows/,http://www.trafficjam.de,,Niedersachsen,Deutschland
Münster,Purpur Gruen Konzerte,,https://www.facebook.com/purpurgruenkonzerte,,,Niedersachsen,Deutschland
Münster,Stahl & Panik Entertainment,Tobias,https://www.facebook.com/stahlundpanikentertainment?fref=ts,tobi@stahlundpanik.de,,Niedersachsen,Deutschland
Münster,Grim Shows,,"https://www.facebook.com/pages/Grim-Shows/151722255000640?
ref=ts&fref=ts",grim-booking@gmx.de,,Niedersachsen,Deutschland
Münster,Spökes Konzerte,,https://www.facebook.com/spoekeskonzerte?fref=ts,,,Niedersachsen,Deutschland
Münster,"""Einfach machen""",,https://www.facebook.com/einfachmachendiy?fref=ts,zackpengbumm@gmail.com,,Niedersachsen,Deutschland
Münster,Tobsucht Konzerte,,https://www.facebook.com/tobsuchtkonzerte/,tobsuchtkonzerte@gmail.com,,Niedersachsen,Deutschland
Nienburg,Burn Out Festival,,https://www.facebook.com/burnoutfestivalnienburg/,http://burnoutfestival.com/,,Niedersachsen,Deutschland
Osnabrück,The Black Sheep Shows,,https://www.facebook.com/TheBlackSheepShows/,,,Niedersachsen,Deutschland
Osnabrück,Apartment 46 Shows,,"https://www.facebook.com/Apartment-46-Shows-BN1516-
Shows-25709844766282
4/?ref=un_c",apt.46shows@gmx.de,,Niedersachsen,Deutschland
Osnabrück,Manatee Entertainment,,https://www.facebook.com/ManateeEntertainment/?ref=un_c,E-MAIL/PHONE,,Niedersachsen,Deutschland
Kassel,Wild Heart Entertainment,Dennis,https://www.facebook.com/wild.heart.entertainment/,,,Niedersachsen,Deutschland
Kassel,Pit Justice,Chris,https://www.facebook.com/chriz.kozzy,brokenstagebooking@gmail.com,,Niedersachsen,Deutschland
Kassel,Moshpit Crew Cassel,,https://www.facebook.com/moshpitcrewcassel/?fref=ts,robert.luckybooking@gmail.com,,Niedersachsen,Deutschland
Hildesheim,Brothers Stand Together Booking,Martin Bandog,https://www.facebook.com/martin.holz.988,info@wolfsklaue-konzerte.de,,Niedersachsen,Deutschland
Braunschweig,Levitation Booking,Simon Skott,https://www.facebook.com/levitationbookings/?ref=un_c,wunstockfestival@web.de,,Niedersachsen,Deutschland
Essen,Drunkard Entertainment,,https://www.facebook.com/drunkardentertainment/?fref=ts,meiki@chamrad.de,,Nordrhein-Westfalen,Deutschland
Essen,Crewlife Booking,,"https://www.facebook.com/Crewlife-
Booking-1556012091314
339/?fref=ts",hobeybooking@gmx.de,,Nordrhein-Westfalen,Deutschland
Essen,Emokeller,,https://www.facebook.com/emokellerbooking/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Essen,TuRock,,https://www.facebook.com/turock.essen/?ref=ts&fref=ts&qsefr=1,,,Nordrhein-Westfalen,Deutschland
Essen,Hü-Weg,,https://www.facebook.com/huweg.essen/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Essen,Zeche Carl,,https://www.facebook.com/zechecarlessen/?fref=ts,info@zechecarl.de,,Nordrhein-Westfalen,Deutschland
Essen,Cafe Nova,,https://www.facebook.com/cafe.nova.music/,booking@cafe-nova.de,,Nordrhein-Westfalen,Deutschland
Essen,Sharp Darts Booking,,"https://www.facebook.com/Sharp-Darts-
Booking-2004465700298
01/",sharpdartsbooking@gmail.com,,Nordrhein-Westfalen,Deutschland
Essen,Panic Room,,,info@panicroom-essen.de,,Nordrhein-Westfalen,Deutschland
Essen,Leaven Entertainment,Phil,"https://www.facebook.com/profile.php?id=100002306461211&fre
f=ts",leavenentertainment@freenet.de,,Nordrhein-Westfalen,Deutschland
Krefeld,Hermano Booking,,https://www.facebook.com/hermanobooking/,info@hermanobooking.de,,Nordrhein-Westfalen,Deutschland
Frankfurt am Main,Elfer,,https://www.facebook.com/Elferclub/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Oberhausen,Helvete,,https://www.facebook.com/helvete.metal.club/?fref=ts,info@helvete.de,,Nordrhein-Westfalen,Deutschland
Oberhausen,Turbinenhalle,,,info@turbinenhalle.de,,Nordrhein-Westfalen,Deutschland
Oberhausen,Noodlebrain Shows,,https://www.facebook.com/noodlebrainshows/?ref=un_c,brokenstagebooking@gmail.com,,Nordrhein-Westfalen,Deutschland
Aachen,BFG - Black Faction Guerrilla,,https://www.facebook.com/BlackFactionGuerrilla/,,,Nordrhein-Westfalen,Deutschland
Aachen,Sharp Darts Booking,,"https://www.facebook.com/Sharp-Darts-
Booking-2004465700298
01/",sharpdartsbooking@gmail.com,,Nordrhein-Westfalen,Deutschland
Lüdenscheid,Möve Konzerte,,https://www.facebook.com/moevekonzerte/,moeve.konzerte@gmx.de,,Nordrhein-Westfalen,Deutschland
Paderborn,Feed us More Shows,Daniel Ruschkowski,https://www.facebook.com/feedusmoreshows/?fref=ts,ruschi@feedusmore.de,,Nordrhein-Westfalen,Deutschland
Paderborn,Thumbs Up Concerts,,https://www.facebook.com/thumbsupconcerts/?fref=ts,thumb69@gmx.de,,Nordrhein-Westfalen,Deutschland
Paderborn,Paderwahn Shows,,https://www.facebook.com/pader.wahn/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Paderborn,Multicult,,"https://www.facebook.com/MultiCult-
Paderborn-586634104806406/?fref=ts",s.chudalla@paderborn.de,,Nordrhein-Westfalen,Deutschland
Köln,Downfall Booking,,https://www.facebook.com/downfallbooking.cologne?fref=ts,downfallbooking@yahoo.de,,Nordrhein-Westfalen,Deutschland
Köln,Andriam Concerts,Nikolas / Lars,https://www.facebook.com/andriamconcerts/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Köln,,,https://www.facebook.com/mtccologne/?fref=ts,robert.luckybooking@gmail.com,,Nordrhein-Westfalen,Deutschland
Köln,Underground,,,info@underground-cologne.de,,Nordrhein-Westfalen,Deutschland
Köln,Sonic Ballroom,,"https://www.facebook.com/Sonic-
Ballroom-270978563310/
?fref=ts",sonicballroom@yahoo.com,,Nordrhein-Westfalen,Deutschland
Köln,Gebäude 9,Jan S.,"https://www.facebook.com/Geb?ude-9-16503103684
6687/?fref=ts",jan@gebaeude9.de,,Nordrhein-Westfalen,Deutschland
Köln,AZ Köln,,https://www.facebook.com/KonzerteAZKoeln/?fref=ts,partyministerium@riseup.net,,Nordrhein-Westfalen,Deutschland
Köln,Kraake Konzerte,,https://www.facebook.com/kraakekonzerte/,,,Nordrhein-Westfalen,Deutschland
Köln,Baumhaus Konzerte,,https://www.facebook.com/baumhauskonzerte/timeline,baumhaus.konzerte@web.de,,Nordrhein-Westfalen,Deutschland
Köln,La Pinata Shows,,https://www.facebook.com/lapinatashows/,lapinatashows@gmail.com,,Nordrhein-Westfalen,Deutschland
Köln,P&R Concerts,,"https://www.facebook.com/PR-CONCERTS-1222192411
26590/?ref=ts&fref=ts",http://www.pr-concerts.com/cms/index.php/contact.html,,Nordrhein-Westfalen,Deutschland
Bonn,Andriam Concerts,Nikolas / Lars,https://www.facebook.com/andriamconcerts/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Bonn,Heart of Core,Chris Peters,,info@wolfsklaue-konzerte.de,,Nordrhein-Westfalen,Deutschland
Koblenz,Andriam Concerts,Nikolas / Lars,https://www.facebook.com/andriamconcerts/?fref=ts,,,Nordrhein-Westfalen,Deutschland
Koblenz,FöTZich KOnzertgruppe,Fa Bibobabo,"https://www.facebook.com/F?TZich-
KOnzertgruppe-652042344918954/?pnref=lhc",faetzich@gmx.de,,Nordrhein-Westfalen,Deutschland
Moers,Bollwerk,,,booking@bollwerk107.de,,Nordrhein-Westfalen,Deutschland
Moers,JZ Henri,,,henri@awo-jz-henri.de,,Nordrhein-Westfalen,Deutschland
Duisburg,Team Collin Reynolds,Olivia Patricia,"https://www.facebook.com/team-collin-reynolds-cystic-fibrosis-
sucks-502586066508695/
?fref=ts",teamcollinreynolds@gmail.com,,Nordrhein-Westfalen,Deutschland
Duisburg,JZ St. Peter,,,info@jz-stpeter.de,,Nordrhein-Westfalen,Deutschland
Duisburg,Parkhaus,,,info@parkhaus-meiderich.de,,Nordrhein-Westfalen,Deutschland
Duisburg,JZ Area 51,,,jugendzentrum.area51@gmx.de,,Nordrhein-Westfalen,Deutschland
Duisburg,Grammatikoff,,,booking@kellergeist06.de,,Nordrhein-Westfalen,Deutschland
Duisburg,Timeless,Chris Seiler,https://www.facebook.com/chris.seiler.102?fref=ts,wunstockfestival@web.de,,Nordrhein-Westfalen,Deutschland
Duisburg,Revenge Booking,,https://www.facebook.com/RevengeBooking/?ref=un_c,revengebooking@gmx.de,,Nordrhein-Westfalen,Deutschland
Mühlheim,AZ Mühlheim,,,info@az-muehlheim.de,,Nordrhein-Westfalen,Deutschland
Waltrop,Yahoo,,,yahoo@rockandwords.de,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Zakk,,,info@zakk.de,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Tube,,,booking@the-tube-club.com,,Nordrhein-Westfalen,Deutschland
Sollingen,CowClub,,,info@cowclub.de,,Nordrhein-Westfalen,Deutschland
Bochum,Rotunde,,,booking@rotunde-bochum.de,,Nordrhein-Westfalen,Deutschland
Wassenberg,JuZe,,,jugendzentrum@wassenberg.de,,Nordrhein-Westfalen,Deutschland
Arnsberg,Rock It,Stephan,,stephan@das-rockt.de,,Nordrhein-Westfalen,Deutschland
Bielefeld,Forum,,,meiki@chamrad.de,,Nordrhein-Westfalen,Deutschland
Bielefeld,Wild Boys Concerts,,https://www.facebook.com/wild.boys.concerts/?fref=ts,wild.boys.concerts@ajz-bielefeld.de,,Nordrhein-Westfalen,Deutschland
Siegen,Vortex Surfer Musikclub,,https://www.facebook.com/VortexSurferMusikclub/,,,Nordrhein-Westfalen,Deutschland
Dortmund,Eviltree Rockshows,,https://www.facebook.com/Eviltreerockshows/,,,Nordrhein-Westfalen,Deutschland
Düren,Popcorn Concerts,,"https://www.facebook.com/Popcorn-
Concerts-1075023592571956/?rc=p",booking@popcorn-concerts.de,,Nordrhein-Westfalen,Deutschland
Schwerte,,,https://www.facebook.com/ole.renfordt?fref=ts,,,Nordrhein-Westfalen,Deutschland
Ibbenbüren,You are not Punk,Alex,https://www.facebook.com/youarenotpunk/,alex.Welle@pinkpop.de,,Nordrhein-Westfalen,Deutschland
Trier,Ex Haus,,https://www.facebook.com/exhaus/?fref=ts,verwaltung@exhaus.de,,Rheinland-Pfalz,Deutschland
Trier,Honey Bucket Show,,https://www.facebook.com/honeybucketcrew/,honeybucketcrew@gmail.com,,Rheinland-Pfalz,Deutschland
Idar-Oberstein,For The Youth Concerts,Nik Harbourt,https://www.facebook.com/nik.harbourt?fref=ts,fortheyouthconcerts@gmail.com,,Rheinland-Pfalz,Deutschland
Mainz,Honey Bucket Show,,https://www.facebook.com/honeybucketcrew/,hobeybooking@gmx.de,,Rheinland-Pfalz,Deutschland
Mainz,Konglomerat Konzerte,Sebastian / Josh,https://www.facebook.com/Konzertkonglomerat/?fref=ts,konglomeratkonzerte@gmail.com,,Rheinland-Pfalz,Deutschland
Mainz,Stempelkissen Konzerte,,https://www.facebook.com/stempelkisseninc/,,,Rheinland-Pfalz,Deutschland
Mainz,Keep it a Secret,,https://www.facebook.com/keepitasecretdiy/timeline,,,Rheinland-Pfalz,Deutschland
Mainz,Caveau,,https://www.facebook.com/caveaumainz/?fref=ts,,,Rheinland-Pfalz,Deutschland
Saarlouis,For The Youth Concerts,Nik Harbourt,https://www.facebook.com/nik.harbourt?fref=ts,fortheyouthconcerts@gmail.com,,Saarland,Deutschland
Saarlouis,Recovery Showcase & Booking,,"https://www.facebook.com/RECOVERY-SHOWCASE-
BOOKING-142217375868674/",,,Saarland,Deutschland
Saarlouis,JuZ United,Andre Juzu United / Bella XN,"https://www.facebook.com/profile.php?id=100010484894935&fre
f=ts",,,Saarland,Deutschland
Dresden,Paria Connection,Bruce Freshman / Matthias Kunzendorf,http://www.facebook.com/PariaConnection,paria.connection@gmx.de,,Sachsen,Deutschland
Dresden,True Spirit Concerts,Eric Zech / Tobias Thelemann,http://www.facebook.com/TrueSpiritConcerts,truespiritconcerts@outlook.de,,Sachsen,Deutschland
Dresden,Subculture Crew,Gregor (Risk It!),http://www.facebook.com/gre.beez?ref=ts,,,Sachsen,Deutschland
Dresden,Colours of Core,Maximilian van Garnier,http://www.facebook.com/coloursofcore.kontakt?ref=ts,,,Sachsen,Deutschland
Dresden,Schoissaal Dresden,Steffen Sohms,https://www.facebook.com/bier.zapfchen?fref=ts,,,Sachsen,Deutschland
Dresden,Dumbo Booking,Marcus Dumbo,https://www.facebook.com/dumbosissy?fref=ts,,,Sachsen,Deutschland
Dresden,böse und gemein - Konzerte,,https://www.facebook.com/boeseundgemein666/,boeseundgemein@posteo.de,,Sachsen,Deutschland
Dresden,Katy's Garage,,https://www.facebook.com/KatysGarageDresden/,http://katysgarage.de/kontakt/,,Sachsen,Deutschland
Dresden,Golden Gloom Sessions.,,https://www.facebook.com/GoldenGloomSessions/,goldengloomsessions@yahoo.de,,Sachsen,Deutschland
Dresden,Black Cat,Nicole,"https://www.facebook.com/Black-
Cat-958762784200718/?
pnref=lhc",,,Sachsen,Deutschland
Dresden,p7ac@freudenkinder.de,P7AC // Konzertkollektiv,https://www.facebook.com/konzertkollektiv/,,,Sachsen,Deutschland
Dresden,Bärzwinger,Kles,https://www.facebook.com/hera.kles.98?fref=ts,,,Sachsen,Deutschland
Leipzig,Laid.Bound,Max Kraft / Josefine Mutzenbacher,https://www.facebook.com/laidbound/?fref=ts,,,Sachsen,Deutschland
Leipzig,Metalheadz / Panzerherz Promotion + Records,"Jörg ""Niebe"" Niebuhr",https://www.facebook.com/Dr.Niebe?fref=ts,panzerherz@gmx.demetalheadz@gmx.de,,Sachsen,Deutschland
Leipzig,Shiquadi,Michael Glöckner,https://www.facebook.com/michael.glockner.9?fref=ts,,,Sachsen,Deutschland
Leipzig,M.H. Booking,Daniel Ertel,https://www.facebook.com/daniel.ertel.31?fref=ts,,,Sachsen,Deutschland
Leipzig,Blackheart Inc.,Hannes Makisch,https://www.facebook.com/thisisblackheart/?ref=ts&fref=ts&qsefr=1,,,Sachsen,Deutschland
Leipzig,Dead Cat Shows,Ben Pe,https://www.facebook.com/deadcatshows/?fref=ts,,,Sachsen,Deutschland
Leipzig,,Kathi Körmann,https://www.facebook.com/kathi.kormann?fref=ts,,,Sachsen,Deutschland
Leipzig,Werk2,Katrin Gruel,https://www.facebook.com/werk2kulturfabrik/?fref=ts,event@werk-2.dek.gruel@werk-2.de,,Sachsen,Deutschland
Leipzig,4Rooms,Tobias Quart,https://www.facebook.com/4roomsLeipzig/?fref=ts,tobiquart@web.de,,Sachsen,Deutschland
Leipzig,Kids in the Bearsuits,Stefan Holland / Eva Trouvain,https://www.facebook.com/annaxbolika?fref=ts,,,Sachsen,Deutschland
Leipzig,Thousand Times Booking,Nadine Jahn,https://www.facebook.com/nadine.jahn.50?fref=ts,fortheyouthconcerts@gmail.com,,Sachsen,Deutschland
Leipzig,LE Mosh Booking / Bandhaus,Uwe Küffner,https://www.facebook.com/LeMoshBooking/?fref=ts,,,Sachsen,Deutschland
Leipzig,Outsiders Connections,Philip Helbig,https://www.facebook.com/OutsidersConnection/?fref=ts,,,Sachsen,Deutschland
Leipzig,We are the Underdogs,Jens Scheibe,"https://www.facebook.com/We-are-the-
Underdogs-409457789173847/?fref=ts",down4life@gmx.de,,Sachsen,Deutschland
Leipzig,Felsenkeller,Nils Sackewitz,https://www.facebook.com/FelsenkellerLeipzig/?fref=ts,mail@asylum-concerts.de,,Sachsen,Deutschland
Leipzig,Mucha Shows,Chris Franke,https://www.facebook.com/muchashows/?fref=ts,,,Sachsen,Deutschland
Leipzig,Income Tax Refund,,https://www.facebook.com/refundtaxincome/,mail@der-hirsch.de,,Sachsen,Deutschland
Leipzig,3asseln,,https://www.facebook.com/3asseln/?fref=ts,rock@glashaus.org,,Sachsen,Deutschland
Leipzig,Köter Konzerte,Benni,https://www.facebook.com/koeterkoenzerte/?ref=ts&fref=ts,wewakethedead@googlemail.com,,Sachsen,Deutschland
Rosswein,JuHa Rosswein,Christian Rüdiger / Tariq Lorenz,https://www.facebook.com/christian.rudiger.39?fref=ts,savethescene@gmx.de,,Sachsen,Deutschland
Chemnitz,Moshcity Entertainment,Rico Günther,https://www.facebook.com/rico.gunther.357?fref=ts,,,Sachsen,Deutschland
Chemnitz,Subway To Peter,,"https://www.facebook.com/Subway-to-
Peter-116164375124181/
?fref=ts",http://www.subwaytopeter.de/contact.html,,Sachsen,Deutschland
Chemnitz,AC17,Max Keller,https://www.facebook.com/max.keller.7140?fref=ts,ac.17@web.de,,Sachsen,Deutschland
Waldkirchen,AZ Dorftrottel,Hansi,,webmaster@az-dorftrottel.de,,Sachsen,Deutschland
Eppendorf,Moshcity Entertainment,Rico Günther,https://www.facebook.com/rico.gunther.357?fref=ts,r.drums@t-online.de,,Sachsen,Deutschland
Rauenstein,TCHC Booking,Patrick Stolzmann,https://www.facebook.com/patrick.stolzmann?fref=ts,,,Sachsen,Deutschland
Liechtenstein,Riot Liechtenstein,Michael Grey,"https://www.facebook.com/JZ-RIOT-
LICHTENSTEIN-2341232
29727/?fref=ts",,,Sachsen,Deutschland
Nünchritz,JUZ Kombi,,https://www.facebook.com/juzkombi/,,,Sachsen,Deutschland
Dessau,Beat Club / Panic Room,Nils Sackewitz,https://www.facebook.com/nils2711?fref=ts,"nils.sackewitz@beatclub-dessau.deeastern.projects.
1@gmail.com",,Sachsen-Anhalt,Deutschland
Magdeburg,Bruised & Brocken Records,"Thomas ""TomTom""",https://www.bb-records.de,,,Sachsen-Anhalt,Deutschland
Magdeburg,Factory MD,"Christian ""Terror""",https://www.facebook.com/factorymagdeburg/?fref=ts,,,Sachsen-Anhalt,Deutschland
Magdeburg,Prison Riot,Robbe Schmidt,https://www.facebook.com/robbe.schmidt?fref=ts,,,Sachsen-Anhalt,Deutschland
Halle,The Cheese Cake,Martin,https://www.facebook.com/kaesekucheninhalle/?fref=ts,booking@the-cheesecake.de,,Sachsen-Anhalt,Deutschland
Halle,Colourblind Concerts,,https://www.facebook.com/colourblindconcerts/,,,Sachsen-Anhalt,Deutschland
Quedlinburg,Kuz Leichenstrasse,,https://www.facebook.com/kuz.reichenstrasse/timeline,,,Sachsen-Anhalt,Deutschland
Salzwedel,Club Hanseat,Louis / Claudia,https://www.facebook.com/club.hanseat.salzwedel/,office@club-hanseat.de,,Sachsen-Anhalt,Deutschland
Salzwedel,,,,,,Schleswig-Holstein,Deutschland
Suhl,LFWP Suhl,,"https://www.facebook.com/LFWP-
Suhl-1681641772106909/
?fref=ts",,,Th?ringen,Deutschland
Jena,BRING IT BACK Booking,,https://www.facebook.com/xbringitbackx/?fref=ts,xbringitbackbookingx@gmail.com,,Th?ringen,Deutschland
Jena,Greenheart Booking,Yannik,https://www.facebook.com/yannick.latour.9?fref=ts,,,Th?ringen,Deutschland
Jena,Deaf Row Shows,,"https://www.facebook.com/Deaf-Row-
Shows-50346143635082
8/",down4life@gmx.de,,Th?ringen,Deutschland
Jena,Monkey Mosh Events,,https://www.facebook.com/monkeymoshevents/?fref=ts,monkey.mosh@gmx.de,,Th?ringen,Deutschland
Arndstadt,For The Hope,Patrick / Connie,https://www.facebook.com/patrick.sxe.9?fref=ts,,,Th?ringen,Deutschland
Erfurt,Metalgulasch,Jan Schuhmacher,https://www.facebook.com/jan.schumacher.35?ref=ts&fref=ts&qsefr=1,,,Th?ringen,Deutschland
Gera,This is your Time,Gigi,https://www.facebook.com/gigi.core.7?fref=ts,,,Th?ringen,Deutschland
Neustadt an der Orla,EXIL SHOWS,,https://www.facebook.com/exilshows/,,,Th?ringen,Deutschland
Kopenhagen,Underwerket,Underwerket,under.werket.dk,Underwerket@kraftwerket.dk,,,D?nemark
Vücklabruck,,,okh.or.at,programm@okh.or.at,,,?sterreich
Salzburg,Rockhouse,Wolf,www.rockhouse.at,booking@rockhouse.at,,,?sterreich
St. Pölten,frei:raum,frei:raum,,wolfgang.matzl@st-poelten.gv.at,,,?sterreich
,Musikclub Gei,Musikclub Gei,facebook.com/gei.tk,,,,?sterreich
Wien,Arena 3Raum,Arena 3Raum,arenavie.com,,,,?sterreich
Basel,Kaserne,,,,,,Schweiz
Bremgarten,Rockbunker,Rockbunker,rockbunker.ch,rockbunker@gmx.ch,,,Schweiz
Zürich,Dynamo,Dynamo,dynamo.ch,info@dynamo.ch,,,Schweiz
Amsterdam,The Cave,,facebook.com/pages/The-Cave,rockclubthecave@gmail.com,,,Niederlande
Düsseldorf,0,0,https://www.facebook.com/the.tube.duesseldorf,0,0,0,Deutschland
Düsseldorf,0,0,https://www.facebook.com/AK47Dusseldorf,0,0,0,Deutschland
Duisburg,0,0,https://www.facebook.com/TowerShoots,0,0,0,Deutschland
Duisburg,0,0,https://www.facebook.com/RevengeBooking,0,0,0,Deutschland
Duisburg,0,0,https://www.facebook.com/pages/Sharp-Darts-Booking/200446570029801,0,0,0,Deutschland
Xanten (Nähe Duisburg),0,0,https://www.facebook.com/AlkoSBK,0,0,0,Deutschland
